uce,ominor,obimaculoides,lpealeii,ovulgaris,pcanaliculata
uce-31768,.,1,1,1,1
uce-19467,.,1,1,1,1
uce-31767,.,1,1,1,1
uce-7805,1,1,1,1,.
uce-36030,1,1,1,1,.
uce-19147,.,1,1,1,1
uce-19461,1,1,1,1,.
uce-27784,1,1,1,1,.
uce-35146,.,.,.,.,1
uce-15743,1,1,1,1,.
uce-19246,1,1,1,1,.
uce-23493,1,1,1,1,.
uce-21704,1,1,1,1,1
uce-11182,1,1,1,1,.
uce-12436,1,1,1,1,.
uce-11184,1,1,1,1,1
uce-15748,1,1,1,1,.
uce-15749,1,1,1,1,.
uce-4044,1,1,1,1,.
uce-4045,1,1,1,1,1
uce-4040,1,1,1,1,1
uce-4041,1,1,1,1,.
uce-5063,1,1,1,1,1
uce-25630,1,1,.,1,1
uce-19140,1,1,1,1,1
uce-14469,1,1,1,1,.
uce-30963,.,.,.,.,.
uce-38067,1,1,1,1,.
uce-28863,1,1,1,1,.
uce-18703,.,.,.,.,.
uce-30965,.,.,.,.,.
uce-30964,.,.,.,.,.
uce-30969,.,.,.,.,.
uce-30968,.,.,.,.,.
uce-26306,1,1,.,1,1
uce-14738,1,1,1,1,.
uce-15601,1,1,1,1,.
uce-15737,1,1,1,1,.
uce-32128,.,.,.,.,.
uce-27169,.,.,.,.,.
uce-27168,.,.,.,.,1
uce-27167,.,.,1,.,.
uce-32127,.,.,.,.,.
uce-27161,1,1,1,1,.
uce-27160,1,1,1,1,.
uce-8797,1,1,1,1,.
uce-4629,1,1,1,1,.
uce-8793,1,1,1,1,.
uce-3694,.,1,1,1,1
uce-33468,1,1,1,1,.
uce-4622,1,1,1,1,1
uce-27495,1,1,1,1,1
uce-9933,1,1,1,1,.
uce-24075,1,1,.,1,1
uce-3102,1,1,1,1,1
uce-24457,1,1,1,1,.
uce-24454,1,1,1,1,1
uce-24452,1,1,1,1,.
uce-3104,1,1,1,1,.
uce-39189,.,.,.,.,1
uce-11074,1,1,1,1,1
uce-3459,1,1,1,1,1
uce-39475,.,.,.,.,.
uce-9826,1,1,.,1,1
uce-11072,1,1,1,1,1
uce-11073,1,1,1,1,1
uce-40402,1,1,1,1,.
uce-40406,.,1,1,1,1
uce-40405,1,1,.,1,1
uce-8029,1,1,1,1,1
uce-1979,.,.,.,.,.
uce-3851,1,1,1,1,.
uce-3852,1,1,1,1,.
uce-26163,1,1,1,1,.
uce-4824,1,1,1,1,.
uce-714,1,1,1,1,.
uce-26769,1,1,1,1,.
uce-711,1,1,1,1,1
uce-713,1,1,1,1,.
uce-712,1,1,1,1,.
uce-26763,1,1,1,1,.
uce-3488,.,1,1,1,1
uce-26766,1,1,1,1,.
uce-28860,.,.,.,.,.
uce-36246,1,1,1,1,.
uce-17279,1,1,1,1,.
uce-18837,.,.,1,.,1
uce-11144,.,.,1,.,.
uce-18835,1,1,1,1,.
uce-14829,1,1,1,1,.
uce-15511,1,1,.,1,1
uce-14825,1,1,1,1,.
uce-14826,.,.,.,.,1
uce-14827,.,.,.,.,.
uce-22209,1,1,1,1,.
uce-2672,1,1,1,1,.
uce-37344,1,1,1,1,.
uce-18838,.,.,1,.,.
uce-31906,1,1,1,1,1
uce-31907,1,1,1,1,1
uce-31904,1,.,1,.,.
uce-31905,1,1,1,1,1
uce-31902,1,1,1,1,.
uce-31903,1,.,1,.,1
uce-23072,1,1,.,1,1
uce-7241,1,1,1,1,.
uce-7240,1,1,1,1,.
uce-7243,1,1,1,1,.
uce-7244,.,1,.,1,.
uce-7247,.,1,1,1,1
uce-26961,1,1,1,1,.
uce-2417,.,.,.,.,1
uce-2416,1,1,1,1,.
uce-17277,.,1,1,1,1
uce-2410,1,1,1,1,.
uce-4110,.,.,.,.,1
uce-6196,1,1,1,1,.
uce-6194,1,1,1,1,.
uce-2418,1,1,1,1,.
uce-30748,1,1,1,1,1
uce-21085,1,1,1,1,.
uce-33057,1,1,1,1,.
uce-27825,.,1,1,1,1
uce-38772,1,1,1,1,.
uce-30507,1,1,1,1,.
uce-33050,1,1,1,1,1
uce-9688,1,1,1,1,.
uce-661,1,1,1,1,.
uce-18909,1,1,1,1,1
uce-667,1,1,1,1,.
uce-12375,.,1,1,1,1
uce-22513,1,1,1,1,.
uce-17996,.,1,1,1,1
uce-18907,1,1,1,1,1
uce-18906,1,1,1,1,1
uce-36429,1,1,1,1,.
uce-18904,1,1,1,1,1
uce-23109,1,1,1,1,.
uce-14912,1,1,.,1,1
uce-9756,1,1,1,1,.
uce-2073,1,1,1,1,.
uce-3070,1,1,1,1,.
uce-15997,1,1,1,1,.
uce-35828,1,1,1,1,1
uce-3074,1,1,1,1,.
uce-32838,1,1,1,1,.
uce-9538,1,1,1,1,1
uce-34712,1,1,1,1,.
uce-6377,1,1,1,1,.
uce-40571,.,.,.,.,.
uce-40570,.,.,.,.,.
uce-6372,.,.,.,.,1
uce-6371,.,.,.,.,.
uce-29344,1,.,1,1,1
uce-29347,1,1,1,1,.
uce-30401,.,1,1,1,1
uce-29343,1,.,1,1,1
uce-29342,.,1,.,1,.
uce-29349,1,1,1,1,.
uce-1699,1,1,1,1,.
uce-38174,1,1,1,1,.
uce-1977,1,1,1,1,.
uce-10851,1,1,1,1,1
uce-22614,.,.,1,.,.
uce-1973,1,1,1,1,1
uce-1972,1,1,1,1,.
uce-28691,1,1,1,1,1
uce-28692,1,1,.,1,1
uce-27959,1,1,.,1,1
uce-10859,1,1,1,1,.
uce-32430,1,1,1,1,1
uce-6212,1,1,1,1,.
uce-8932,1,1,1,1,1
uce-1407,.,.,.,.,.
uce-32908,1,1,.,1,1
uce-6758,.,.,.,.,1
uce-7427,.,1,1,1,1
uce-31717,1,1,1,1,1
uce-1402,.,1,1,1,1
uce-1409,1,1,1,1,1
uce-1408,.,.,.,.,.
uce-6976,1,1,1,1,1
uce-29790,1,1,1,1,.
uce-14008,1,1,1,1,1
uce-38193,1,1,.,1,1
uce-6603,.,1,1,1,1
uce-38191,.,1,1,1,.
uce-5299,1,1,1,1,.
uce-34406,1,1,1,1,1
uce-10667,1,1,1,1,.
uce-6328,1,1,1,1,1
uce-30571,1,1,.,1,.
uce-38012,1,1,1,1,.
uce-2898,1,1,1,1,.
uce-10932,1,1,1,1,1
uce-24857,1,1,1,1,.
uce-29840,1,1,1,1,.
uce-18794,1,1,1,1,.
uce-1951,.,.,1,.,.
uce-33088,1,1,1,1,.
uce-16185,1,1,1,1,.
uce-16181,1,1,1,1,.
uce-38510,1,1,1,1,.
uce-38511,1,1,1,1,.
uce-36604,1,1,1,1,1
uce-15263,1,1,1,1,.
uce-32509,1,1,1,1,1
uce-22104,.,.,1,.,.
uce-34340,1,1,1,1,1
uce-1197,1,1,1,1,.
uce-38994,1,1,1,1,.
uce-6584,1,1,1,1,.
uce-7517,1,1,1,1,.
uce-18121,1,1,1,1,.
uce-483,1,1,1,1,.
uce-34662,1,1,.,1,.
uce-10322,.,1,1,1,1
uce-35047,1,1,1,1,.
uce-35046,1,1,1,1,1
uce-31453,1,1,1,1,.
uce-1357,.,1,1,1,.
uce-1356,1,1,1,1,.
uce-6400,.,.,1,.,.
uce-22274,.,.,.,.,.
uce-14138,1,1,1,1,1
uce-20235,1,1,1,1,1
uce-20232,.,1,.,1,1
uce-25310,1,1,1,1,.
uce-26385,1,1,1,1,.
uce-10734,.,.,1,.,.
uce-898,1,1,.,1,1
uce-13138,.,1,1,1,1
uce-28942,.,1,1,1,.
uce-10733,.,.,1,.,.
uce-16452,1,1,1,1,.
uce-890,1,1,1,1,.
uce-891,1,1,1,1,.
uce-897,1,1,.,1,.
uce-16698,1,1,1,1,.
uce-33879,1,1,.,1,1
uce-15682,1,.,1,1,.
uce-18544,1,1,1,1,.
uce-19016,1,1,1,1,.
uce-33876,.,.,.,.,1
uce-33873,1,1,1,1,.
uce-33724,.,.,.,.,1
uce-33726,.,.,.,.,.
uce-13646,1,1,1,1,.
uce-870,1,1,1,1,1
uce-36934,1,1,1,1,1
uce-35623,1,1,1,1,.
uce-17517,.,.,.,.,.
uce-5096,.,.,.,.,.
uce-8562,.,.,.,.,1
uce-15351,1,1,1,1,.
uce-15350,1,1,1,1,1
uce-15352,1,1,1,1,1
uce-15355,1,1,1,1,1
uce-15356,1,1,1,1,1
uce-18503,.,.,1,.,1
uce-24137,1,1,.,1,.
uce-7080,1,1,.,1,1
uce-10596,1,1,1,1,.
uce-30193,1,1,1,1,.
uce-8066,1,1,1,1,.
uce-31343,1,1,1,1,.
uce-25406,1,1,1,1,.
uce-23679,1,1,1,1,.
uce-24595,1,1,1,1,.
uce-23677,1,1,1,1,.
uce-25408,1,1,1,1,.
uce-25409,1,1,1,1,1
uce-14229,.,1,1,1,1
uce-30356,.,1,1,1,1
uce-16528,1,1,1,1,1
uce-36806,1,1,1,1,1
uce-26990,1,1,.,1,1
uce-13005,1,1,1,1,1
uce-36805,1,1,1,1,1
uce-17038,1,1,.,1,.
uce-40136,1,1,1,1,.
uce-10208,.,1,1,1,1
uce-12774,.,.,1,1,1
uce-38782,1,1,1,1,1
uce-39645,.,1,1,1,.
uce-18054,.,.,.,1,.
uce-19298,1,1,1,1,.
uce-4453,1,1,1,1,1
uce-4452,1,1,1,1,.
uce-19296,1,1,1,1,.
uce-19297,1,1,1,1,.
uce-19290,1,1,1,1,.
uce-14359,1,1,1,1,1
uce-5478,1,1,1,1,.
uce-5476,1,1,1,1,.
uce-5477,1,1,1,1,.
uce-5471,1,1,1,1,.
uce-18350,.,1,1,1,1
uce-9192,1,1,.,1,1
uce-10441,1,1,1,1,.
uce-12695,1,1,1,1,.
uce-19616,1,1,1,1,.
uce-19617,.,1,1,1,1
uce-26577,1,1,1,1,.
uce-26576,1,1,1,1,.
uce-26575,1,1,1,1,.
uce-26571,1,1,1,1,.
uce-22079,1,1,1,1,.
uce-27557,1,1,1,1,.
uce-27554,.,.,.,.,1
uce-27555,.,.,.,.,1
uce-22072,.,.,.,.,.
uce-22073,.,.,.,.,.
uce-27550,1,1,1,1,1
